SRC_ID_Customer,AccountNumber,SRC_ID_Store,StoreName,SRC_ID_CustomerTerritory,CustomerTerritoryName,CustomerTerritoryCountryRegionCode,SRC_ID_Person,PersonPersonType,PersonTitle,PersonFirstName,PersonMiddleName,PersonLastName,PersonEmailPromotion
29804,AW00029804,1000,Games and Sport Supply Company,5,Southeast,US,999,SC,Mr.,Matthew,M.,Hagemann,0
29805,AW00029805,1002,Distant Inn,4,Southwest,US,1001,SC,Ms.,Erin,M.,Hagens,0
29806,AW00029806,1004,Finer Mart,1,Northwest,US,1003,SC,Ms.,Betty,M.,Haines,2
29807,AW00029807,1010,Cross-Country Riding Supplies,6,Canada,CA,1009,SC,Mr.,Bryan,,Hamilton,0
29808,AW00029808,1012,Stylish Department Stores,5,Southeast,US,1011,SC,Mr.,James,R.,Hamilton,0
29809,AW00029809,1014,Bike World,4,Southwest,US,1013,SC,Mr.,Kerim,,Hanif,0
29810,AW00029810,1016,Central Discount Store,1,Northwest,US,1015,SC,Ms.,Jean,P.,Handley,2
29811,AW00029811,1018,Trusted Catalog Store,5,Southeast,US,1017,SC,Mr.,Mark,,Hanson,0
29812,AW00029812,1020,Bicycle Warehouse Inc.,8,Germany,DE,1019,SC,Mr.,William,J.,Hapke,2
29813,AW00029813,1022,Sharp Bikes,6,Canada,CA,1021,SC,Ms.,Katherine,,Harding,2
29814,AW00029814,1024,Exemplary Cycles,5,Southeast,US,1023,SC,Ms.,Kimberly,Beth,Harrington,1
29815,AW00029815,1026,Metropolitan Sports Supply,4,Southwest,US,1025,SC,Mr.,Lucy,,Harrington,0
29816,AW00029816,1028,Progressive Sports,1,Northwest,US,1027,SC,Mr.,Keith,,Harris,2
29817,AW00029817,1030,Underglaze and Finish Company,5,Southeast,US,1029,SC,Ms.,Doris,,Hartwig,0
29818,AW00029818,1032,Brakes and Gears,1,Northwest,US,1031,SC,Mr.,Roger,,Harui,2
29819,AW00029819,1034,The Accessories Store,3,Central,US,1033,SC,Ms.,Ann,T.,Hass,2
29820,AW00029820,1036,Mountain Bike Store,2,Northeast,US,1035,SC,Mr.,Mark,,Hassall,1
29821,AW00029821,1038,Bike Part Wholesalers,9,Australia,AU,1037,SC,Mr.,Neal,B.,Hasty,1
29822,AW00029822,1040,Family Cycle Store,6,Canada,CA,1039,SC,Mr.,James,B.,Haugh,1
29823,AW00029823,1042,Popular Bike Lines,9,Australia,AU,1041,SC,Mr.,Jeff,,Hay,1
29824,AW00029824,1044,Superb Sales and Repair,6,Canada,CA,1043,SC,Ms.,Brenda,F.,Heaney,0
29825,AW00029825,1046,Better Bike Shop,5,Southeast,US,1045,SC,,James,,Hendergart,0
29826,AW00029826,1048,Countryside Company,1,Northwest,US,1047,SC,Mr.,John,,Hanson,1
29827,AW00029827,1050,First Bike Store,3,Central,US,1049,SC,Ms.,Valerie,M.,Hendricks,1
29828,AW00029828,1052,Traditional Department Stores,2,Northeast,US,1051,SC,Mr.,Jay,,Henningsen,0
29829,AW00029829,1054,Eastside Cycle Shop,9,Australia,AU,1053,SC,Mr.,Jeff,D.,Henshaw,0
29830,AW00029830,1056,General Department Stores,6,Canada,CA,1055,SC,Mr.,Kari,,Hensien,1
29831,AW00029831,1060,Operational Manufacturing,6,Canada,CA,1059,SC,Ms.,Irene,J.,Hernandez,0
29832,AW00029832,1062,Online Bike Warehouse,6,Canada,CA,1061,SC,Mr.,Jésus,,Hernandez,0
29833,AW00029833,1064,Retread Tire Company,5,Southeast,US,1063,SC,Ms.,Pam,L.,Herrick,0
29834,AW00029834,1066,Small Bike Shop,4,Southwest,US,1065,SC,Ms.,Cheryl,M.,Herring,0
29835,AW00029835,1068,Superior Hardware Distributors,1,Northwest,US,1067,SC,Mr.,Ronald,K.,Heymsfield,0
29836,AW00029836,1070,Fitness Sport Boutique,2,Northeast,US,1069,SC,Mr.,Sidney,,Higa,2
29837,AW00029837,1072,Producer Goods Clearinghouse,8,Germany,DE,1071,SC,Ms.,Onetha,F.,Higgs,1
29838,AW00029838,1074,Recreation Systems,2,Northeast,US,1073,SC,Ms.,Fran,P.,Highfill,0
29839,AW00029839,1076,Rustic Bike Store,8,Germany,DE,1075,SC,Ms.,Geneva,T.,Hill,2
29840,AW00029840,1078,Eastside Parts Shop,6,Canada,CA,1077,SC,Mr.,Andrew,R.,Hill,0
29841,AW00029841,1080,Exchange Parts Inc.,5,Southeast,US,1079,SC,Mr.,Reinout,,Hillmann,0
29842,AW00029842,1082,First Cycle Store,4,Southwest,US,1081,SC,Mr.,Mike,,Hines,1
29843,AW00029843,1084,Running and Cycling Gear,1,Northwest,US,1083,SC,Mr.,Matthew,,Hink,2
29844,AW00029844,1086,Seventh Bike Store,2,Northeast,US,1085,SC,Ms.,Nancy,E.,Hirota,0
29845,AW00029845,1088,Fast Services,8,Germany,DE,1087,SC,Ms.,Rose,,Hirsch,1
29846,AW00029846,1090,General Associates,5,Southeast,US,1089,SC,Mr.,Douglas,,Hite,0
29847,AW00029847,1092,Good Toys,4,Southwest,US,1091,SC,Mr.,David,,Hodgson,2
29848,AW00029848,1094,Little Bicycle Supply Shop,3,Central,US,1093,SC,Ms.,Helge,,Hoeing,1
29849,AW00029849,1096,Retail Toy Store,5,Southeast,US,1095,SC,Ms.,Barbara,,Hoffman,0
29850,AW00029850,1100,All Seasons Sports Supply,4,Southwest,US,1099,SC,Mr.,Bob,,Hodges,1
29851,AW00029851,1102,Leisure Clearing House,10,United Kingdom,GB,1101,SC,Ms.,Jean,J.,Holloway,1
29852,AW00029852,1106,The Commissary,6,Canada,CA,1105,SC,Mr.,Eddie,M.,Holmes,0
29853,AW00029853,1108,Affordable Sports Equipment,4,Southwest,US,1107,SC,Ms.,Juanita,J.,Holman,2
